search_date,day_of_week,location,hotel_id,hotel_name,price,currency,rating,address,city_code,latitude,longitude,distance_from_center,amenities,room_type,board_type,altitude,canton,destination_type,distance_to_airport_km,month,quarter,week_of_year,day_of_year,is_weekend,season,is_public_holiday,is_school_vacation,temp_avg,temp_min,temp_max,precipitation_mm,snow_depth_cm,sunshine_hours,is_ski_season,hotel_chain,is_chain_hotel
05.01.2026,Monday,Arosa,BWZRH091,BEST WESTERN HOTEL ZURCHERHOF,570.64,CHF,4.5,"Poststrasse 95, Arosa",ZRH,47.37503,8.54445,107.47,"WiFi,Gym,Pool,Spa",STANDARD_ROOM,BREAKFAST,1775,Graubuenden,alpine_ski_resort,10,1,1,2,5,FALSE,Winter,FALSE,FALSE,-8.2,-11.3,-2.6,4,126,4.1,TRUE,Best Western,TRUE
05.01.2026,Monday,Arosa,MCZRHDTM,Zurich Marriott Hotel,732.9,CHF,4.5,"Marktplatz 10, Arosa",ZRH,47.38247,8.54026,108.23,"WiFi,Parking,Breakfast",STANDARD_ROOM,ROOM_ONLY,1775,Graubuenden,alpine_ski_resort,9.2,1,1,2,5,FALSE,Winter,FALSE,FALSE,-5.6,-11,-0.9,1.3,64,1.4,TRUE,Marriott,TRUE
05.01.2026,Monday,Arosa,ONZRHCTY,HOTEL CITY,438.36,CHF,4.3,"Hauptstrasse 54, Arosa",ZRH,47.37474,8.53611,107.95,"WiFi,Parking,Breakfast",BUDGET_ROOM,ROOM_ONLY,1775,Graubuenden,alpine_ski_resort,10.1,1,1,2,5,FALSE,Winter,FALSE,FALSE,-6.8,-12.6,-1.4,1.5,142,3.5,TRUE,Independent,FALSE
05.01.2026,Monday,Arosa,ONZRHMOT,HOTEL MONTANA,301.46,CHF,4.1,"Poststrasse 9, Arosa",ZRH,47.38081,8.53524,108.41,"WiFi,Gym,Pool,Spa",STANDARD_ROOM,BREAKFAST,1775,Graubuenden,alpine_ski_resort,9.4,1,1,2,5,FALSE,Winter,FALSE,FALSE,-9.5,-14.4,-5.1,0,94,1.3,TRUE,Independent,FALSE
05.01.2026,Monday,Arosa,XKZRH001,Hotel du Lac,239.68,CHF,3.9,"Bahnhofstrasse 13, Arosa",ZRH,47.36649,8.53675,107.36,"WiFi,24h Reception,Luggage Storage",STANDARD_ROOM,BREAKFAST,1775,Graubuenden,alpine_ski_resort,11,1,1,2,5,FALSE,Winter,FALSE,FALSE,-4.9,-9,1.9,1.6,131,2.9,TRUE,Independent,FALSE
05.01.2026,Monday,Basel,ONBSLBAD,HOTEL BAD BUBENDORF,174.25,CHF,3.8,"Kirchgasse 11, Basel",BSL,47.54086,7.59531,2.14,"WiFi,Parking,Restaurant,Bar",STANDARD_ROOM,BREAKFAST,260,Basel-Stadt,city,8.2,1,1,2,5,FALSE,Winter,FALSE,FALSE,1.6,-1.4,5,1.1,0,3.7,FALSE,Independent,FALSE
05.01.2026,Monday,Basel,RTBSLBAH,ibis Basel Bahnhof,108.62,CHF,3,"Marktplatz 49, Basel",BSL,47.54683,7.58427,1.46,"WiFi,Restaurant,Room Service",STANDARD_ROOM,ROOM_ONLY,260,Basel-Stadt,city,7.2,1,1,2,5,FALSE,Winter,FALSE,FALSE,-1.1,-6.4,5.5,3,0,1.3,FALSE,Accor (ibis),TRUE
05.01.2026,Monday,Bern,BWBRN230,Best Western Plus Hotel Bern,216.15,CHF,3.6,"Bahnhofstrasse 51, Bern",BRN,46.94877,7.44633,0.12,"WiFi,24h Reception,Luggage Storage",STANDARD_ROOM,ROOM_ONLY,542,Bern,city,5.5,1,1,2,5,FALSE,Winter,FALSE,FALSE,-2.5,-7.2,1,1.8,0,3.1,FALSE,Best Western,TRUE
05.01.2026,Monday,Chur,BWZRH091,BEST WESTERN HOTEL ZURCHERHOF,268.86,CHF,4.1,"Marktplatz 4, Chur",ZRH,47.37503,8.54445,94.9,"WiFi,Restaurant,Room Service",STANDARD_ROOM,BREAKFAST,593,Graubuenden,city,10,1,1,2,5,FALSE,Winter,FALSE,FALSE,1.9,-2.4,7,2.4,0,2.2,FALSE,Best Western,TRUE
05.01.2026,Monday,Chur,MCZRHDTM,Zurich Marriott Hotel,359.1,CHF,4.6,"Bahnhofstrasse 42, Chur",ZRH,47.38247,8.54026,95.65,"WiFi,24h Reception,Luggage Storage",STANDARD_ROOM,ROOM_ONLY,593,Graubuenden,city,9.2,1,1,2,5,FALSE,Winter,FALSE,FALSE,-3.4,-7.7,2.7,2.1,0,3.1,FALSE,Marriott,TRUE
